,district,year,total_pop,urban_pop,pct_urban
929,Ngabwe,2009,53056.05859375,0.0,0.0
930,Serenje,2009,88144.796875,400.39483642578125,0.00454246706125592
931,Chililabombwe,2009,88835.703125,14970.435546875,0.16851823107439384
932,Chingola,2009,220149.234375,92113.984375,0.4184161014073479
933,Kalulushi,2009,69036.5,5300.5888671875,0.07677951326019569
934,Kitwe,2009,564577.625,193711.421875,0.3431085705442188
935,Luanshya,2009,158015.609375,28399.01953125,0.1797228744905443
936,Lufwanyama,2009,76552.734375,200.2948455810547,0.002616429670557469
937,Masaiti,2009,105736.1484375,0.0,0.0
938,Mpongwe,2009,91953.46875,0.0,0.0
939,Mufulira,2009,141583.40625,44234.15625,0.31242472138220645
940,Ndola,2009,465308.1875,172211.03125,0.3701010123532374
941,Chadiza,2009,71971.171875,543.5482177734375,0.007552304674397626
942,Chasefu,2009,95791.59375,0.0,0.0
943,Chipangali,2009,118504.359375,0.0,0.0
944,Chipata,2009,234855.21875,6368.08544921875,0.027114941209790553
945,Kasenengwa,2009,111494.75,226.90032958984375,0.0020350763564189684
946,Katete,2009,161986.015625,1010.71533203125,0.006239522147214675
947,Lumezi,2009,111157.875,0.0,0.0
948,Lundazi,2009,105806.6875,0.0,0.0
949,Mambwe,2009,70620.6640625,0.0,0.0
950,Nyimba,2009,81194.4609375,0.0,0.0
951,Petauke,2009,233037.8125,150.78956604003906,0.0006470605110062945
952,Sinda,2009,164016.734375,270.10809326171875,0.0016468325277355941
953,Vubwi,2009,30007.271484375,0.0,0.0
954,Chembe,2009,25469.537109375,0.0,0.0
955,Chiengi,2009,105417.5625,2617.318115234375,0.024828103146801322
956,Chifunabuli,2009,83907.515625,616.156982421875,0.007343287163638686
957,Chipili,2009,31246.11328125,25.557415008544922,0.0008179390114379851
958,Kawambwa,2009,89918.421875,3310.650146484375,0.03681837467172936
959,Lunga,2009,26253.814453125,0.0,0.0
960,Mansa,2009,188725.984375,0.0,0.0
961,Milengi,2009,53736.3515625,0.0,0.0
962,Mwansabombwe,2009,50182.87109375,777.34033203125,0.015490152617594321
963,Mwense,2009,87957.6015625,980.1468505859375,0.01114340128851143
964,Nchelenge,2009,156415.59375,1982.522216796875,0.012674709530339745
965,Samfya,2009,88552.7578125,0.0,0.0
966,Chilanga,2009,187174.4375,1354.8460693359375,0.0072384140026382476
967,Chirundu,2009,36463.703125,0.0,0.0
